date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efv.us,w_gld.us,w_gsg.us,w_ief.us,w_ijh.us,w_ijr.us,w_lqd.us,w_mchi.us,w_mtum.us,w_qqq.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vtv.us,w_vwo.us
2020-05-01,-0.032515489467162206,-0.032515489467162206,0.0,0,False,0.0,1.1200134591969764,-0.2920898233865571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-01,0.052435961563303435,0.04843596156330343,1.0,5,True,0.004,1.0792612906679322,-0.31784743780081637,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0908145126642968,0.0908145126642968,0.0,0,False,0.0,1.1358533942221574,-0.2820781122690309,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,0.0660636089769027,0.0660636089769027,0.0,0,False,0.0,1.2246458799895144,-0.2259563721547796,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,-0.04029424020167824,-0.04029424020167824,0.0,0,False,0.0,1.3055504065403172,-0.17482025659374933,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,-0.01360546637965332,-0.01460546637965332,0.25,2,True,0.001,1.2516913006189194,-0.20886217713673583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.08367701536045491,0.08267701536045491,0.25,2,True,0.001,1.222888856884743,-0.2270669075025462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2020-12-01,0.026953808247642486,0.026953808247642486,0.0,0,False,0.0,1.3238913299998705,-0.16322778307578378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2021-01-01,0.07357842801377967,0.07157842801377967,0.5,4,True,0.002,1.3642856343952754,-0.1376963584987696,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.027329640814547085,0.026329640814547084,0.25,2,True,0.001,1.4602765531909079,-0.07702481234911573,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2021-03-01,-0.012327054243698204,-0.013327054243698205,0.25,2,True,0.001,1.4986852014926406,-0.052748431757888126,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2021-04-01,0.041215118819314056,0.039215118819314054,0.5,4,True,0.002,1.477250406064174,-0.06629640271559256,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2021-05-01,0.020841799962906082,0.020841799962906082,0.0,0,False,0.0,1.5255659350823472,-0.03575832801696388,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2021-06-01,0.002504700620563405,0.002504700620563405,0.0,0,False,0.0,1.557361475131557,-0.015661795973595405,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2021-07-01,-0.00351164252604938,-0.00451164252604938,0.25,2,True,0.001,1.5597009371853758,-0.014183127139663076,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2021-08-01,0.024404674865705134,0.023404674865705133,0.25,2,True,0.001,1.5635153174543026,-0.011772228781546157,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
2021-09-01,-0.03905823390162272,-0.04005823390162272,0.25,2,True,0.001,1.5984706572958765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2021-10-01,0.05503478929333322,0.05303478929333322,0.5,4,True,0.002,1.532965142045377,-0.043842183083663944,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2021-11-01,-0.056863615120589184,-0.057863615120589185,0.25,2,True,0.001,1.6157142240762368,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
2021-12-01,0.07514645905270462,0.07414645905270462,0.25,2,True,0.001,1.5223150334212106,-0.07104479469983738,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2022-01-01,-0.0252700721147813,-0.0252700721147813,0.0,0,False,0.0,1.5932826576971764,-0.02854830798854069,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2022-02-01,0.006459796913818733,0.005459796913818733,0.25,2,True,0.001,1.5514672697479004,-0.05404386533939487,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0
2022-03-01,0.038641663858948544,0.03764166385894854,0.25,2,True,0.001,1.5599279437956801,-0.048885247639286145,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
