date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vt.us,w_vwo.us,w_xlk.us
2015-06-01,-0.023502426880324046,-0.025502426880324044,0.5,2,True,0.002,2.212636370594041,-0.07804014506495449,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2015-07-01,0.01898777930926887,0.01698777930926887,0.5,2,True,0.002,2.1563127779892453,-0.10150902226387559,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2015-08-01,-0.04580135452750137,-0.04780135452750137,0.5,2,True,0.002,2.199503111776879,-0.08351250263568555,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2015-09-01,0.014755882102023877,0.012755882102023877,0.5,2,True,0.002,2.090376233461723,-0.12898341789228684,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2015-10-01,0.04885871392827981,0.04685871392827981,0.5,2,True,0.002,2.1169791355541334,-0.11789853829800223,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2015-11-01,0.0036583599418097633,0.0016583599418097633,0.5,2,True,0.002,2.2141554385422175,-0.07740718084012743,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2015-12-01,-0.040987093957135345,-0.040987093957135345,0.0,0,False,0.0,2.2178111048713136,-0.07588394021945577,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2016-01-01,-0.023965826666997758,-0.023965826666997758,0.0,2,True,0.0,2.156292742713392,-0.10151737054932575,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8
2016-02-01,0.020089752914658556,0.020089752914658556,0.0,0,False,0.0,2.104615404598218,-0.12305024951004895,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8
2016-03-01,0.018898899841460093,0.014898899841460093,1.0,5,True,0.004,2.1383090216247522,-0.10901081552131786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-04-01,-0.017541101654291503,-0.021541101654291503,1.0,5,True,0.004,2.17000582681591,-0.09580341176337526,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2016-05-01,0.010649742180650179,0.008649742180650179,0.5,2,True,0.002,2.127388330955733,-0.11356124166399961,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.4
2016-06-01,0.036810260223524,0.034810260223524,0.5,2,True,0.002,2.1414528905036145,-0.10770083032265976,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2016-07-01,0.029654421239895062,0.029654421239895062,0.0,0,False,0.0,2.2202803286594714,-0.07485506568960199,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2016-08-01,0.014062011773401363,0.012062011773401363,0.5,2,True,0.002,2.2815492138825983,-0.04932558724340774,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2016-09-01,0.01634563098400722,0.01634563098400722,0.0,0,False,0.0,2.313632385789812,-0.035957192458552445,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2016-10-01,-0.01282225145274355,-0.01282225145274355,0.0,0,False,0.0,2.3471473920929817,-0.021992181867534266,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2016-11-01,-0.0223349593733821,-0.0223349593733821,0.0,0,False,0.0,2.317051678034914,-0.03453244403437794,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2016-12-01,0.040497438818540996,0.038497438818540994,0.5,2,True,0.002,2.260769822094098,-0.057983930427842,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2017-01-01,0.020016899795823818,0.020016899795823818,0.0,0,False,0.0,2.3274593351675374,-0.030195788365271814,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2017-02-01,0.04449915076891944,0.04249915076891944,0.5,2,True,0.002,2.3692997597475234,-0.012761748010132856,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2017-03-01,-0.005679740747655348,-0.007679740747655348,0.5,2,True,0.002,2.4697821237993467,-3.7801157121153395e-06,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
